# version: 1.0.0
# exportDate: 2026-04-02T01:29:09.113Z
# projectName: blueprint-with-actors-emotions
# primaryLanguage: fr
sceneUuid,sceneLabel,blockUuid,blockType,isStartBlock,blockLabel,structureKey,note,parentLabels,metadataColor,metadataComments,metadataTags,en,fr
199c33e2-a4aa-44bb-8b70-16ce88824e82,Flow-001,73fa0dce-df57-4040-b2d7-2db8dc5156c2,ACTION,,ACTION-001,,,__blueprints__,,,,,
199c33e2-a4aa-44bb-8b70-16ce88824e82,Flow-001,fed6440c-1a2a-47f8-9e40-3dbf3ce25492,ACTION,,ACTION-002,,,__blueprints__,,,,,
199c33e2-a4aa-44bb-8b70-16ce88824e82,Flow-001,23e9aeda-e1db-4f8e-ae9f-afaf76786e95,CHOICE,,CHOICE-001,,,__blueprints__,,,,,
199c33e2-a4aa-44bb-8b70-16ce88824e82,Flow-001,f80757d6-73c0-4160-8449-e494f5c485b7,CONDITION,,CONDITION-001,,,__blueprints__,,,,,
199c33e2-a4aa-44bb-8b70-16ce88824e82,Flow-001,f2402df4-0081-4663-9fce-6dca72e9ff77,DIALOG,true,DIALOG-001,__blueprints__.Flow-001.DIALOG-001,,__blueprints__,,,,,"Salut , dit moi que fait tu la ?"
199c33e2-a4aa-44bb-8b70-16ce88824e82,Flow-001,c302b3a4-3433-4cf4-8402-a61e33ba1a84,DIALOG,,DIALOG-002,__blueprints__.Flow-001.DIALOG-002,,__blueprints__,,,,,"Ha j'ai tres mal et jessai de me reposer , je me suis cogner a cette roche la bas !"
199c33e2-a4aa-44bb-8b70-16ce88824e82,Flow-001,157817bf-073e-4368-89de-52e295ffcecb,DIALOG,,DIALOG-003,__blueprints__.Flow-001.DIALOG-003,,__blueprints__,,,,,> ces la roche etrange qui semble avoir blesser cette creature !
199c33e2-a4aa-44bb-8b70-16ce88824e82,Flow-001,f6262aa9-6d90-46d1-a0fd-f9108ded43ff,DIALOG,,DIALOG-004,__blueprints__.Flow-001.DIALOG-004,,__blueprints__,,,,,Je compatis a votre douleur ! miouw
199c33e2-a4aa-44bb-8b70-16ce88824e82,Flow-001,a458323a-d832-405f-8f47-9ca096d7eea6,DIALOG,,DIALOG-005,__blueprints__.Flow-001.DIALOG-005,,__blueprints__,,,,,Moi aussi
199c33e2-a4aa-44bb-8b70-16ce88824e82,Flow-001,8994d27a-592b-4fe6-9311-754f6f7d491d,DIALOG,,DIALOG-006,__blueprints__.Flow-001.DIALOG-006,,__blueprints__,,,,,venez je vais vous aider 
199c33e2-a4aa-44bb-8b70-16ce88824e82,Flow-001,03773f48-310f-43e8-a7bb-1062f1c92d83,DIALOG,,DIALOG-007,__blueprints__.Flow-001.DIALOG-007,,__blueprints__,,,,,a la prochaine
199c33e2-a4aa-44bb-8b70-16ce88824e82,Flow-001,80a3b47d-1262-4bb4-a520-915fc88f75ea,DIALOG,,DIALOG-008,__blueprints__.Flow-001.DIALOG-008,,__blueprints__,,,,,hehehe
